,state,term,outcome,croscor,lagd
1,Alabama,covid,daily_vaccinations,-0.041111477,-14
2,Alabama,covid,daily_vaccinations,-0.066422233,-13
3,Alabama,covid,daily_vaccinations,0.092839874,-12
4,Alabama,covid,daily_vaccinations,-0.020798974,-11
5,Alabama,covid,daily_vaccinations,0.153547473,-10
6,Alabama,covid,daily_vaccinations,0.058249983,-9
7,Alabama,covid,daily_vaccinations,-0.019362072,-8
8,Alabama,covid,daily_vaccinations,0.143204925,-7
9,Alabama,covid,daily_vaccinations,-0.175251291,-6
10,Alabama,covid,daily_vaccinations,0.066048564,-5
11,Alabama,covid,daily_vaccinations,-0.152789722,-4
12,Alabama,covid,daily_vaccinations,0.000544785,-3
13,Alabama,covid,daily_vaccinations,0.077427123,-2
14,Alabama,covid,daily_vaccinations,0.074127686,-1
15,Alabama,covid,daily_vaccinations,0.060164257,0
16,Alabama,covid,daily_vaccinations_per_million,-0.041715717,-14
17,Alabama,covid,daily_vaccinations_per_million,-0.066213693,-13
18,Alabama,covid,daily_vaccinations_per_million,0.09287242,-12
19,Alabama,covid,daily_vaccinations_per_million,-0.020934564,-11
20,Alabama,covid,daily_vaccinations_per_million,0.15332706,-10
21,Alabama,covid,daily_vaccinations_per_million,0.058294727,-9
22,Alabama,covid,daily_vaccinations_per_million,-0.019269588,-8
23,Alabama,covid,daily_vaccinations_per_million,0.14304139,-7
24,Alabama,covid,daily_vaccinations_per_million,-0.174972291,-6
25,Alabama,covid,daily_vaccinations_per_million,0.066029566,-5
26,Alabama,covid,daily_vaccinations_per_million,-0.152648778,-4
27,Alabama,covid,daily_vaccinations_per_million,0.000328774,-3
28,Alabama,covid,daily_vaccinations_per_million,0.077136344,-2
29,Alabama,covid,daily_vaccinations_per_million,0.074466418,-1
30,Alabama,covid,daily_vaccinations_per_million,0.059710863,0
31,Alabama,mask,daily_vaccinations,-0.063207227,-14
32,Alabama,mask,daily_vaccinations,-0.015046037,-13
33,Alabama,mask,daily_vaccinations,-0.027982538,-12
34,Alabama,mask,daily_vaccinations,0.078154935,-11
35,Alabama,mask,daily_vaccinations,-0.08678074,-10
36,Alabama,mask,daily_vaccinations,0.088276051,-9
37,Alabama,mask,daily_vaccinations,0.011886906,-8
38,Alabama,mask,daily_vaccinations,0.035432832,-7
39,Alabama,mask,daily_vaccinations,0.022913484,-6
40,Alabama,mask,daily_vaccinations,0.058724121,-5
41,Alabama,mask,daily_vaccinations,-0.059820384,-4
42,Alabama,mask,daily_vaccinations,0.065089153,-3
43,Alabama,mask,daily_vaccinations,0.121859306,-2
44,Alabama,mask,daily_vaccinations,0.007573978,-1
45,Alabama,mask,daily_vaccinations,0.132329414,0
46,Alabama,mask,daily_vaccinations_per_million,-0.063190916,-14
47,Alabama,mask,daily_vaccinations_per_million,-0.015203618,-13
48,Alabama,mask,daily_vaccinations_per_million,-0.027773462,-12
49,Alabama,mask,daily_vaccinations_per_million,0.077976533,-11
50,Alabama,mask,daily_vaccinations_per_million,-0.08658754,-10
51,Alabama,mask,daily_vaccinations_per_million,0.088268404,-9
52,Alabama,mask,daily_vaccinations_per_million,0.011628761,-8
53,Alabama,mask,daily_vaccinations_per_million,0.035663136,-7
54,Alabama,mask,daily_vaccinations_per_million,0.022566695,-6
55,Alabama,mask,daily_vaccinations_per_million,0.05878463,-5
56,Alabama,mask,daily_vaccinations_per_million,-0.059764006,-4
57,Alabama,mask,daily_vaccinations_per_million,0.064838272,-3
58,Alabama,mask,daily_vaccinations_per_million,0.121899952,-2
59,Alabama,mask,daily_vaccinations_per_million,0.007617064,-1
60,Alabama,mask,daily_vaccinations_per_million,0.132333415,0
61,Alabama,qanon,daily_vaccinations,-0.011342463,-14
62,Alabama,qanon,daily_vaccinations,-0.135577416,-13
63,Alabama,qanon,daily_vaccinations,0.152272229,-12
64,Alabama,qanon,daily_vaccinations,-0.009209441,-11
65,Alabama,qanon,daily_vaccinations,-0.162360202,-10
66,Alabama,qanon,daily_vaccinations,0.11559884,-9
67,Alabama,qanon,daily_vaccinations,0.000283771,-8
68,Alabama,qanon,daily_vaccinations,-0.120390659,-7
69,Alabama,qanon,daily_vaccinations,0.11411285,-6
70,Alabama,qanon,daily_vaccinations,-0.069889397,-5
71,Alabama,qanon,daily_vaccinations,0.033527992,-4
72,Alabama,qanon,daily_vaccinations,-0.109603355,-3
73,Alabama,qanon,daily_vaccinations,0.010227232,-2
74,Alabama,qanon,daily_vaccinations,-0.144288612,-1
75,Alabama,qanon,daily_vaccinations,0.078375251,0
76,Alabama,qanon,daily_vaccinations_per_million,-0.011269742,-14
77,Alabama,qanon,daily_vaccinations_per_million,-0.135790585,-13
78,Alabama,qanon,daily_vaccinations_per_million,0.152331737,-12
79,Alabama,qanon,daily_vaccinations_per_million,-0.009251934,-11
80,Alabama,qanon,daily_vaccinations_per_million,-0.162176238,-10
81,Alabama,qanon,daily_vaccinations_per_million,0.115753879,-9
82,Alabama,qanon,daily_vaccinations_per_million,2.01E-05,-8
83,Alabama,qanon,daily_vaccinations_per_million,-0.120235503,-7
84,Alabama,qanon,daily_vaccinations_per_million,0.114045619,-6
85,Alabama,qanon,daily_vaccinations_per_million,-0.069934513,-5
86,Alabama,qanon,daily_vaccinations_per_million,0.033433237,-4
87,Alabama,qanon,daily_vaccinations_per_million,-0.109488271,-3
88,Alabama,qanon,daily_vaccinations_per_million,0.010440671,-2
89,Alabama,qanon,daily_vaccinations_per_million,-0.144190153,-1
90,Alabama,qanon,daily_vaccinations_per_million,0.078207495,0
91,Alabama,social distancing,daily_vaccinations,-0.028281906,-14
92,Alabama,social distancing,daily_vaccinations,0.077614855,-13
93,Alabama,social distancing,daily_vaccinations,0.041699368,-12
94,Alabama,social distancing,daily_vaccinations,-0.00408695,-11
95,Alabama,social distancing,daily_vaccinations,-0.049032921,-10
96,Alabama,social distancing,daily_vaccinations,-0.098397447,-9
97,Alabama,social distancing,daily_vaccinations,-0.08050591,-8
98,Alabama,social distancing,daily_vaccinations,-0.034284741,-7
99,Alabama,social distancing,daily_vaccinations,-0.187676837,-6
100,Alabama,social distancing,daily_vaccinations,0.016355841,-5
101,Alabama,social distancing,daily_vaccinations,-0.037945404,-4
102,Alabama,social distancing,daily_vaccinations,-0.093527303,-3
103,Alabama,social distancing,daily_vaccinations,0.176110558,-2
104,Alabama,social distancing,daily_vaccinations,0.076887144,-1
105,Alabama,social distancing,daily_vaccinations,0.126192593,0
106,Alabama,social distancing,daily_vaccinations_per_million,-0.028187489,-14
107,Alabama,social distancing,daily_vaccinations_per_million,0.077122563,-13
108,Alabama,social distancing,daily_vaccinations_per_million,0.04241177,-12
109,Alabama,social distancing,daily_vaccinations_per_million,-0.004431197,-11
110,Alabama,social distancing,daily_vaccinations_per_million,-0.048637041,-10
111,Alabama,social distancing,daily_vaccinations_per_million,-0.098388105,-9
112,Alabama,social distancing,daily_vaccinations_per_million,-0.08068087,-8
113,Alabama,social distancing,daily_vaccinations_per_million,-0.033811299,-7
114,Alabama,social distancing,daily_vaccinations_per_million,-0.188050839,-6
115,Alabama,social distancing,daily_vaccinations_per_million,0.016635269,-5
116,Alabama,social distancing,daily_vaccinations_per_million,-0.03793313,-4
117,Alabama,social distancing,daily_vaccinations_per_million,-0.093727528,-3
118,Alabama,social distancing,daily_vaccinations_per_million,0.176205271,-2
119,Alabama,social distancing,daily_vaccinations_per_million,0.07661042,-1
120,Alabama,social distancing,daily_vaccinations_per_million,0.126287767,0
121,Alabama,vaccine,daily_vaccinations,-0.044074727,-14
122,Alabama,vaccine,daily_vaccinations,0.086392864,-13
123,Alabama,vaccine,daily_vaccinations,0.03127275,-12
124,Alabama,vaccine,daily_vaccinations,0.047501467,-11
125,Alabama,vaccine,daily_vaccinations,0.1909206,-10
126,Alabama,vaccine,daily_vaccinations,-0.026980004,-9
127,Alabama,vaccine,daily_vaccinations,0.092794377,-8
128,Alabama,vaccine,daily_vaccinations,0.007437034,-7
129,Alabama,vaccine,daily_vaccinations,0.035871878,-6
130,Alabama,vaccine,daily_vaccinations,0.02239425,-5
131,Alabama,vaccine,daily_vaccinations,-0.015093839,-4
132,Alabama,vaccine,daily_vaccinations,0.121369006,-3
133,Alabama,vaccine,daily_vaccinations,-0.029934928,-2
134,Alabama,vaccine,daily_vaccinations,0.324950234,-1
135,Alabama,vaccine,daily_vaccinations,0.006337569,0
136,Alabama,vaccine,daily_vaccinations_per_million,-0.044746636,-14
137,Alabama,vaccine,daily_vaccinations_per_million,0.086846057,-13
138,Alabama,vaccine,daily_vaccinations_per_million,0.031001993,-12
139,Alabama,vaccine,daily_vaccinations_per_million,0.04750122,-11
140,Alabama,vaccine,daily_vaccinations_per_million,0.190804572,-10
141,Alabama,vaccine,daily_vaccinations_per_million,-0.027076672,-9
142,Alabama,vaccine,daily_vaccinations_per_million,0.092822565,-8
143,Alabama,vaccine,daily_vaccinations_per_million,0.007392813,-7
144,Alabama,vaccine,daily_vaccinations_per_million,0.03602822,-6
145,Alabama,vaccine,daily_vaccinations_per_million,0.022184387,-5
146,Alabama,vaccine,daily_vaccinations_per_million,-0.014794556,-4
147,Alabama,vaccine,daily_vaccinations_per_million,0.120808332,-3
148,Alabama,vaccine,daily_vaccinations_per_million,-0.029791773,-2
149,Alabama,vaccine,daily_vaccinations_per_million,0.324701626,-1
150,Alabama,vaccine,daily_vaccinations_per_million,0.006311842,0
151,Alabama,vaccine near me,daily_vaccinations,0.043672293,-14
152,Alabama,vaccine near me,daily_vaccinations,-0.037568807,-13
153,Alabama,vaccine near me,daily_vaccinations,0.061259031,-12
154,Alabama,vaccine near me,daily_vaccinations,0.143324344,-11
155,Alabama,vaccine near me,daily_vaccinations,0.106795095,-10
156,Alabama,vaccine near me,daily_vaccinations,0.052669524,-9
157,Alabama,vaccine near me,daily_vaccinations,0.020572184,-8
158,Alabama,vaccine near me,daily_vaccinations,0.022600579,-7
159,Alabama,vaccine near me,daily_vaccinations,-0.049027362,-6
160,Alabama,vaccine near me,daily_vaccinations,-0.001700834,-5
161,Alabama,vaccine near me,daily_vaccinations,-0.039796142,-4
162,Alabama,vaccine near me,daily_vaccinations,-0.027437527,-3
163,Alabama,vaccine near me,daily_vaccinations,-0.039996994,-2
164,Alabama,vaccine near me,daily_vaccinations,0.201884509,-1
165,Alabama,vaccine near me,daily_vaccinations,0.054894135,0
166,Alabama,vaccine near me,daily_vaccinations_per_million,0.043875746,-14
167,Alabama,vaccine near me,daily_vaccinations_per_million,-0.037558284,-13
168,Alabama,vaccine near me,daily_vaccinations_per_million,0.060757643,-12
169,Alabama,vaccine near me,daily_vaccinations_per_million,0.143601864,-11
170,Alabama,vaccine near me,daily_vaccinations_per_million,0.106425422,-10
171,Alabama,vaccine near me,daily_vaccinations_per_million,0.052824764,-9
172,Alabama,vaccine near me,daily_vaccinations_per_million,0.020723932,-8
173,Alabama,vaccine near me,daily_vaccinations_per_million,0.022303488,-7
174,Alabama,vaccine near me,daily_vaccinations_per_million,-0.048647365,-6
175,Alabama,vaccine near me,daily_vaccinations_per_million,-0.001898878,-5
176,Alabama,vaccine near me,daily_vaccinations_per_million,-0.039660842,-4
177,Alabama,vaccine near me,daily_vaccinations_per_million,-0.027549098,-3
178,Alabama,vaccine near me,daily_vaccinations_per_million,-0.040150667,-2
179,Alabama,vaccine near me,daily_vaccinations_per_million,0.201859144,-1
180,Alabama,vaccine near me,daily_vaccinations_per_million,0.054671766,0
181,Alaska,covid,daily_vaccinations,0.134681519,-14
182,Alaska,covid,daily_vaccinations,-0.026342262,-13
183,Alaska,covid,daily_vaccinations,0.08763872,-12
184,Alaska,covid,daily_vaccinations,0.05995816,-11
185,Alaska,covid,daily_vaccinations,0.000584551,-10
186,Alaska,covid,daily_vaccinations,0.01234614,-9
187,Alaska,covid,daily_vaccinations,-0.056658797,-8
188,Alaska,covid,daily_vaccinations,0.010615808,-7
189,Alaska,covid,daily_vaccinations,0.012066778,-6
190,Alaska,covid,daily_vaccinations,-0.067799927,-5
191,Alaska,covid,daily_vaccinations,-0.108735181,-4
192,Alaska,covid,daily_vaccinations,-0.079637741,-3
193,Alaska,covid,daily_vaccinations,0.010955137,-2
194,Alaska,covid,daily_vaccinations,0.200770073,-1
195,Alaska,covid,daily_vaccinations,-0.108307346,0
196,Alaska,covid,daily_vaccinations_per_million,0.134738678,-14
197,Alaska,covid,daily_vaccinations_per_million,-0.026333174,-13
198,Alaska,covid,daily_vaccinations_per_million,0.087672187,-12
199,Alaska,covid,daily_vaccinations_per_million,0.059923534,-11
200,Alaska,covid,daily_vaccinations_per_million,0.000586088,-10
201,Alaska,covid,daily_vaccinations_per_million,0.012322196,-9
202,Alaska,covid,daily_vaccinations_per_million,-0.056637107,-8
203,Alaska,covid,daily_vaccinations_per_million,0.010621641,-7
204,Alaska,covid,daily_vaccinations_per_million,0.012103878,-6
205,Alaska,covid,daily_vaccinations_per_million,-0.067875377,-5
206,Alaska,covid,daily_vaccinations_per_million,-0.108696904,-4
207,Alaska,covid,daily_vaccinations_per_million,-0.079634975,-3
208,Alaska,covid,daily_vaccinations_per_million,0.010923072,-2
209,Alaska,covid,daily_vaccinations_per_million,0.20080556,-1
210,Alaska,covid,daily_vaccinations_per_million,-0.108315323,0
211,Alaska,mask,daily_vaccinations,0.047095513,-14
212,Alaska,mask,daily_vaccinations,-0.14240918,-13
